example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall
356__wikidata_intersection__dev,0.6,True,138,"[1, 0, 0, 0, 2, 2]",0.6666666666666666,0.6666666666666666,0.5
356__wikidata_intersection__dev,0.7,True,181,"[0, 0, 0, 2, 2, 2]",0.7499999999999999,0.7499999999999999,0.6
356__wikidata_intersection__dev,0.8,True,219,"[2, 0, 0, 1, 2, 2]",0.8235294117647058,0.8235294117647058,0.7
356__wikidata_intersection__dev,0.9,True,370,"[2, 2, 0, 2, 2, 2]",0.9473684210526316,0.9473684210526316,0.9
356__wikidata_intersection__dev,0.95,False,,,,,
709__wikidata_simple__dev,0.6,True,235,"[1, 1, 0, 2, 0, 1]",0.6666666666666666,0.6666666666666666,0.5
709__wikidata_simple__dev,0.7,True,304,"[1, 1, 1, 2, 0, 1]",0.7499999999999999,0.7499999999999999,0.6
709__wikidata_simple__dev,0.8,True,365,"[1, 1, 1, 2, 0, 2]",0.8235294117647058,0.8235294117647058,0.7
709__wikidata_simple__dev,0.9,True,515,"[2, 2, 1, 2, 0, 2]",0.9473684210526316,0.9473684210526316,0.9
709__wikidata_simple__dev,0.95,True,633,"[2, 2, 2, 2, 0, 2]",1.0,1.0,1.0
801__wikidata_simple__dev,0.6,True,132,"[1, 0, 1, 2, 1, 0]",0.6666666666666666,0.6666666666666666,0.5
801__wikidata_simple__dev,0.7,True,160,"[1, 0, 1, 2, 2, 0]",0.7499999999999999,0.7499999999999999,0.6
801__wikidata_simple__dev,0.8,True,188,"[1, 0, 2, 2, 2, 0]",0.8235294117647058,0.8235294117647058,0.7
801__wikidata_simple__dev,0.9,True,244,"[1, 2, 2, 2, 2, 0]",0.9473684210526316,0.9473684210526316,0.9
801__wikidata_simple__dev,0.95,True,272,"[2, 2, 2, 2, 2, 0]",1.0,1.0,1.0
